name,category,neighborhood,address,phone,lat,lng,tier,product_tags,recognition,what_to_order,price_range,reservation,best_time,notes,verdict,caveat
El Celler de Can Roca,Michelin,Pedret · Can Sunyer,"Carrer de Can Sunyer 48, 17007 Girona",+34 972 222 157,41.99329,2.80796,berth_top,3 Michelin; Tasting; At-source,3 Michelin stars; World's 50 Best No.1 in 2013 & 2015 (then retired to Best of the Best),"The full tasting: caramelised olives plucked from a bonsai, closing on Jordi's perfume-built desserts.",EUR 300+ pp,"Books ~11 months ahead, midnight on the 1st of the month; card to hold",Lunch — marginally easier to land than dinner,"Closed Sun & Mon; the booking window, not the walk, is the gatekeeper","Forty years in, all three brothers are still on the floor — this is not a three-star coasting on its two world titles.","Bookings open at midnight on the 1st of each month, eleven months out, card to hold; shut Sunday and Monday, and 16 August–1 September this summer."
Restaurant Massana,Michelin,Mercadal · near the Devesa,"Carrer Bonastruc de Porta 10, 17001 Girona",+34 972 213 820,41.9873,2.8195,berth_top,1 Michelin; Duck; Family,"1 Michelin star, first awarded 2007, held through the 2026 Guide; fourth-generation kitchen","Homenaje al Magret de Pato — duck breast off the grill, on the card since 1986.",EUR 90–140 pp,Several days to weeks ahead,Dinner,Quieter than Can Roca but still needs advance booking,"Girona's longest-held star after Can Roca's — kept since 2007, and bookable in days, not seasons.","Shut Sunday and Monday, last tasting-menu seating at nine sharp — book days ahead, not on the night."
Divinum,Michelin,Barri Vell · the Casino building,"Carrer de l'Albareda 7, 17004 Girona",+34 872 080 218,41.9855,2.8238,berth_top,1 Michelin; Pairing; Steak tartare,"1 Michelin star, held in the 2026 Guide; kitchen trained under Joan Roca","The classic steak tartare, mustard-cool, with whatever Laura pours against it.",EUR 80–120 pp,A few days ahead,Dinner,Below street level in the Casino building — easy to walk past,"The only star in Girona won from the dining room, not the pass — Joan and Laura's floor, since the wine-bar days.","Shut Sunday and Monday, kitchen closes at ten — and the vault sits below street level, easy to march straight past."
Normal,Bistro,Barri Vell · Plaça de l'Oli,"Plaça de l'Oli 1, 17004 Girona",+34 972 436 383,41.9862,2.8248,several,Roca; Catalan stew; Market,The Roca brothers' deliberately informal room; interiors by Andreu Carulla,The whisky tart with egg-yolk ice cream — the one dessert the inspectors single out.,EUR 35–50 pp,A few days ahead,Lunch,The companion Bar Normal opens at noon for vermouth and all-day picking,"The Rocas at their most Catalan — their mother's home cooking by El Celler-trained hands, not a three-star spin-off doing tricks.","Shut Mondays; the diary opens 90 days ahead at midnight, card down — €50 a head if you cancel inside three days."
Casa Cacao,Chocolate,Barri Vell · Plaça Catalunya,"Plaça de Catalunya 23, 17002 Girona",+34 972 282 828,41.9843,2.8228,several,Roca; Chocolate; Terrace,Jordi Roca + Anna Payet's bean-to-bar house and 15-room hotel over the Onyar,"The thick hot chocolate — single-origin, conched metres away, dense enough to coat the spoon.",EUR 15–30 (café),Advisable for the terrace brunch,"Morning, on the terrace",Shop is walk-in; the 15-room hotel above books out fast,"Not a three-star gift shop — Jordi Roca roasts, grinds and conches the beans on the premises, and the cup proves it.","A café, not a lunch room — the bookable brunch is the hotel roof's midday sitting (12:00–14:00, about €35, reserve ahead); the shop is walk-in, the fifteen rooms above are not."
Rocambolesc,Gelateria,Mercadal · Carrer Santa Clara,"Carrer de Santa Clara 50, 17001 Girona",+34 972 416 667,41.984,2.8225,several,Roca; Ice cream; Playful,Jordi Roca's gelateria — the Celler's dessert language at street level,"The Panet — brioche pressed hot around cold soft-serve; crackling crust, frozen heart.",EUR 4–8,Walk-in,Afternoon,Queues form fast in summer; a candy confiteria shares the address,Three-Michelin-star pastry thinking at four euros a cone — and the queue down Santa Clara knows it.,"Walk-in only, and shut by 21:00 five nights a week (23:00 Friday–Saturday) — no midweek after-dinner cone."
Can Marquès,Traditional,Mercadal · beside Mercat del Lleó,"Plaça Calvet i Rubalcaba 3, 17002 Girona",+34 972 201 001,41.9796,2.8227,several,Since 1920; 4th-gen; Market,"One of Girona's longest-running family tables, opened 1920, now fourth generation",The Thursday rice — the pan carries whatever the market gave up that morning.,EUR 30–45 pp,Advisable for the three dinner nights,Lunch — dinner only Wed/Thu/Fri 20:30–22:30,Night service Wed–Fri only; it shops the market next door,"Four unbroken generations since 1920 — among Girona's longest-running tables, and the Mercat del Lleó next door still sets the menu.","Lunch is the meal: dinner is Thursday and Friday only, groups only — and Saturdays shut mid-June to mid-September."
Casa Marieta,Traditional,Barri Vell · Plaça de la Independència,"Plaça Independència 5–6, 17001 Girona",+34 972 201 016,41.9857,2.8236,several,Since 1892; 5th-gen; Terrace,"On the arcaded square since 1892, five generations in","Duck with pears: the old Catalan way, pears gone amber in the roasting juices.",EUR 25–40 pp,Recommended for the arcaded terrace,Lunch on the square,Also does takeaway if the room is full,"Girona's oldest restaurant — on a square ringed with look-alike terraces, the one that has cooked here since 1892 and still cooks like it.","Open daily but on rails — lunch 12.30 to 3.30, dinner 7.30 to 10.30, half an hour longer at weekends, nothing between; the arcaded terrace books out first, and nobody here is chasing tasting-menu invention."
Fonda Cal Ros,Traditional,Barri Vell · Carrer de la Cort Reial,"Carrer de la Cort Reial 9, 17004 Girona",+34 972 219 176,41.9862,2.8243,several,Stone vaults; Els Tinars team; Seasonal,Historic inn relaunched by the Els Tinars / Marc Gascons team,Rockfish rice a la llauna — baked flat in its tin until the edges catch.,EUR 40–55 pp,Recommended,Dinner under the stone vaults,Closed Tue; on the same street where the xuixo was invented,Not the Gascons' starred table — the same Els Tinars hands cooking fricandó and rice a la llauna for fonda money under the old inn's vaults.,"Shut Tuesdays and Wednesdays — not the Monday you'd guess; plates land to share, so order as a table, not as individuals."
Nexe,Bistro,Barri Vell · Carrer d'Abeuradors,"Carrer d'Abeuradors 4, 17004 Girona",—,41.9873,2.8198,several,Experimental; Market; Value,"The old Nu, transferred to its own chefs in Aug 2022; MICHELIN Guide selection + Guía Repsol Recomendado 2026","Steak tartare, worked up in front of you at the open bar.",—,Book ahead — Tue–Sat only,Dinner at the open bar,Nu's old domain is dead; don't bank on the tasting menu third-party sites advertise,"Nu is gone — Massana signed the room over to his own cooks in 2022, and as Nexe they've kept their MICHELIN Guide listing without him.","Shut Sunday and Monday, two-hour service windows — book, and don't bank on the tasting menu TheFork advertises; the carte runs short."
